name,latitude,longitude,size,color
LA HERRADURA,4.244992,-75.153148,0.15,#556b2f
Ibague / Perales,4.4333,-75.15,3.0,#702963
NIQUIA,6.3373,-75.557,0.15,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
ALEJANDRÍA,6.37703,-75.14139,0.14,#556b2f
Rionegro / J. M. Cordova,6.1333,-75.4333,3.0,#702963
INGENIO PROVIDENCIA 2,3.4206,-76.522,0.14,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
ALTO TULUA,4.084656,-76.19536,0.14,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
TUNJITA,4.60971,-74.08175,0.14,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
FLORIDA,3.3191,-76.2349,0.14,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
INCAUCA 1,3.406607,-76.350352,0.14,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
TEQUENDAMA 1,4.6097,-74.0817,0.13,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
TEQUENDAMA 2,4.711,-74.0721,0.12,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
AUTOG AYURA,6.17008,-75.587257,0.12,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
CALDERAS,5.06889,-75.51738,0.12,#556b2f
Manizales / La Nubia,5.0333,-75.4667,3.0,#702963
TEQUENDAMA 3,4.60971,-74.08175,0.12,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
BIOENERGY,3.6953,-73.6966,0.12,#556b2f
Apiay (TMQ-53) / La Palma,4.07,-73.55,3.0,#702963
RIOGRANDE I,9.5643,-73.3347,0.12,#556b2f
Valledupar / Alfonso Lopez,10.4333,-73.25,3.0,#702963
AMAIME,4.084656,-76.195358,0.12,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
EL EDÉN,4.535,-75.675,0.12,#556b2f
Armenia / El Eden,4.5,-75.7167,3.0,#702963
TEQUENDAMA 4,4.624335,-74.063644,0.12,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
ZIPAEMG 4,5.020013,-73.998794,0.1,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
GUANAQUITAS,5.0667,-74.6167,0.1,#556b2f
Mariquita / San Rafael,5.2167,-74.8833,3.0,#702963
PALMAS SAN GIL,6.55687,-73.13348,0.1,#556b2f
Bucaramanga / Palonegro,7.1,-73.2,3.0,#702963
PAJARITO,7.0653,-73.8547,0.09,#556b2f
Barrancabermeja / Yariguies,7.0167,-73.8,3.0,#702963
LA VUELTA,8.5662,-76.7046,0.09,#556b2f
Puerto Obaldia / Puerto Obaldía,8.6667,-77.4167,3.0,#702963
AUTOG REFICAR,10.3997,-75.5144,0.09,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
SALTO II,6.2359,-75.5751,0.09,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
ZIPAEMG 5,5.02013,-74.009184,0.09,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
TERMOCANDELARIA 1,3.4062101,-76.3489157,0.09,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
CARUQUIA,4.711,-74.0721,0.09,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
TERMOCANDELARIA 2,3.4062108,-76.3541674,0.09,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
PAIPA 1,5.77917,-73.11744,0.09,#556b2f
Bucaramanga / Palonegro,7.1,-73.2,3.0,#702963
TERMOCAPACHOS,4.3133,-72.0817,0.08,#556b2f
Las Gaviotas,4.55,-70.9167,3.0,#702963
AGUA FRESCA,6.231137,-75.153467,0.08,#556b2f
Rionegro / J. M. Cordova,6.1333,-75.4333,3.0,#702963
JEPIRACHI 1 - 15,12.046389,-71.976667,0.08,#556b2f
Riohacha / Almirante Padilla,11.5333,-72.9333,3.0,#702963
TERMOYOPAL 2,5.3378,-72.3959,0.08,#556b2f
Tame / Tame,6.45,-71.75,3.0,#702963
INGENIO RIOPAILA 1,4.404441,-76.07191,0.08,#556b2f
Armenia / El Eden,4.5,-75.7167,3.0,#702963
AUTOG ARGOS EL CAIRO,4.7592,-76.2215,0.08,#556b2f
Cartago / Santa Ana,4.7582,-75.9557,3.0,#702963
COGENERADOR PROENCA 1,10.980706,-74.805647,0.07,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
